description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
"DOUBLE FUDGE BROWNIE PROTEIN BARS, DOUBLE FUDGE BROWNIE",75.0,49.33,13.0,373.0,2.7,26.67,37.33,9.33,133.0,20.0,0.667
"VANILLA MEAL REPLACEMENT DELICIOUS PROTEIN SHAKE, VANILLA",36.0,47.22,0.0,361.0,5.6,36.11,22.22,8.33,333.0,58.3,1.944
"CHOCOLATEY CRISPY COOKIE DOUGH FLAVORED BAKE SHOP MEAL REPLACEMENT BARS, CHOCOLATEY CRISPY COOKIE DOUGH",45.0,37.78,0.0,400.0,11.1,33.33,2.22,15.56,178.0,60.0,1.556
"GOIABA PREMIUM FRUIT PUREE, GOIABA",100.0,14.0,0.0,50.0,5.0,2.0,6.0,0.0,8.0,132.0,0.08
"PURE & UNSWEETENED ORGANIC FRUIT PUREE, ACAI BERRY",100.0,4.0,0.0,90.0,4.0,2.0,0.0,7.0,32.0,0.0,0.08
"100% WHOLE GRAIN BREAD, 100% WHOLE GRAIN",48.0,45.83,0.0,292.0,6.2,12.5,8.33,6.25,83.0,0.0,0.0
"100% WHOLE GRAIN BREAD, 100% WHOLE GRAIN",48.0,45.83,0.0,292.0,6.2,12.5,8.33,7.29,83.0,0.0,0.0
"CRUNCHY BRAN & RAISIN CEREAL, CRUNCHY BRAN & RAISIN",54.0,83.33,0.0,352.0,11.1,7.41,35.19,1.85,111.0,0.0,0.926
ORANGE ZEST CHICKEN,286.0,18.18,10.0,108.0,1.4,5.94,5.59,1.05,11.0,2.1,0.056
"ROASTED SUNFLOWER KERNELS, ROASTED",28.0,17.86,0.0,607.0,7.1,17.86,3.57,53.57,286.0,0.0,1.429
"NUTRITIONAL DRINKS, RICH MILK CHOCOLATE",36.0,75.0,14.0,361.0,2.8,13.89,52.78,1.39,222.0,233.3,1.111
"HIGH PROTEIN BARS, SALTED PEANUT BUTTER CHOCOLATE CHIP",60.0,36.67,8.0,400.0,8.3,33.33,8.33,15.0,67.0,60.0,2.0
"100% WHOLE GRAIN BREAD, 100% WHOLE GRAIN",48.0,45.83,0.0,292.0,6.2,12.5,8.33,6.25,83.0,0.0,0.0
"HONEY CRUNCH & OATS FROSTED CORN AND WHEAT FLAKES CEREAL WITH GRANOLA CLUSTERS, HONEY CRUNCH & OATS",40.0,85.0,0.0,400.0,5.0,7.5,20.0,1.25,60.0,45.0,2.5
"HONEY NUT TOASTED OATS, HONEY NUT",40.0,85.0,0.0,375.0,7.5,7.5,32.5,1.25,75.0,25.0,1.5
"VANILLA PROTEIN POWDER, VANILLA",28.0,25.0,18.0,357.0,17.9,53.57,3.57,10.71,286.0,42.9,1.429
"CHOCOLATEY PEANUT BUTTER PIE FLAVORED BAKE SHOP MEAL REPLACEMENT BARS, CHOCOLATEY PEANUT BUTTER PIE",45.0,40.0,0.0,400.0,11.1,33.33,2.22,13.33,178.0,60.0,1.556
"DOUBLE CHOCOLATE CHIP BAKE SHOP MEAL REPLACEMENT COOKIES, DOUBLE CHOCOLATE CHIP",65.0,50.77,62.0,338.0,7.7,15.38,12.31,10.77,185.0,41.5,1.077
"BANANA NUT CRUNCH BARS, BANANA NUT CRUNCH",60.0,36.67,8.0,383.0,8.3,33.33,8.33,13.33,67.0,60.0,2.0
RIPPLED POTATO CHIPS,28.0,53.57,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"FROSTED SHREDDED WHEAT SWEETENED, CRUNCHY, WHOLE GRAIN WHEAT CEREAL, FROSTED SHREDDED WHEAT",60.0,86.67,0.0,367.0,10.0,8.33,20.0,1.67,75.0,0.0,0.833
"FRUIT & GRAIN MEDLEY DELUXE CEREAL, FRUIT & GRAIN MEDLEY",54.0,77.78,0.0,389.0,9.3,7.41,20.37,4.63,74.0,27.8,0.926
"ORIGINAL POTATO CHIPS, ORIGINAL",28.0,53.57,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"ORIGINAL FLAVOR INSTANT OATMEAL, ORIGINAL",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
"RAISINS & SPICE INSTANT OATMEAL, RAISINS & SPICE",43.0,76.74,0.0,349.0,7.0,6.98,32.56,3.49,93.0,0.0,0.93
"CHOCO CHIPPERS SWEETENED CORN CEREAL, CHOCO CHIPPERS",31.0,90.32,0.0,387.0,0.0,3.23,41.94,2.1,52.0,19.4,1.613
"TOASTED OAT LOOPS CEREAL, OAT LOOPS",41.0,73.17,0.0,390.0,7.3,9.76,4.88,6.1,0.0,14.6,1.22
"ORIGINAL FLAVOR INSTANT OATMEAL, ORIGINAL",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
"RUSTIC WHITE THIN-SLICED BREAD, RUSTIC WHITE",27.0,51.85,0.0,259.0,3.7,7.41,7.41,1.85,15.0,0.0,0.0
"APPLES & CINNAMON INSTANT OATMEAL, APPLES & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,25.71,4.29,114.0,0.0,1.143
"CINNAMON ROLL INSTANT OATMEAL, CINNAMON ROLL",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"STRAWBERRIES & CREAM INSTANT OATMEAL, STRAWBERRIES & CREAM",35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,91.0,0.0,1.143
"CINNAMON & SPICE INSTANT OATMEAL, CINNAMON & SPICE",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"MAPLE & BROWN SUGAR INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"RAISIN BRAN CEREAL WITH CRUNCHY WHEAT FLAKES & LOADED WITH RAISINS, RAISIN BRAN",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"HONEY NUT TOASTED OATS SWEETENED CEREAL WITH HONEY & ALMOND FLAVOR, HONEY NUT",28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
"OATS & MORE, SWEETENED MULTIGRAIN CEREAL WITH REAL STRAWBERRIES, STRAWBERRIES",31.0,83.87,0.0,387.0,6.5,6.45,25.81,3.23,52.0,29.0,1.613
"OATS & MORE, SWEETENED MULTIGRAIN CEREAL WITH HONEY OAT CLUSTERS WITH HONEY, HONEY",32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,1.562
"OAT SQUARES CRUNCHY OAT CEREAL WITH A SPRINKLE OF BROWN SUGAR, OAT SQUARES",56.0,78.57,0.0,375.0,8.9,10.71,16.07,4.46,107.0,10.7,0.893
"KOO-KIES SWEETENED CORN CEREAL, KOO-KIES",26.0,84.62,0.0,385.0,3.8,3.85,34.62,3.85,62.0,23.1,1.923
"22 GRAINS & SEEDS THIN-SLICED BREAD, 22 GRAINS & SEEDS",27.0,48.15,0.0,296.0,7.4,14.81,7.41,5.56,56.0,0.0,0.0
"RAISINS & SPICE INSTANT OATMEAL, RAISINS & SPICE",43.0,76.74,0.0,349.0,7.0,6.98,32.56,3.49,93.0,0.0,0.93
"OATS & MORE, SWEETENED MULTIGRAIN CEREAL WITH HONEY OAT CLUSTERS & ALMONDS, ALMONDS",32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
"APPLE CINNAMON TOASTED OATS SWEETENED CEREAL, APPLE CINNAMON",30.0,80.0,0.0,400.0,6.7,6.67,36.67,5.0,53.0,20.0,1.667
"ICED GINGERBREAD SEASONAL FLAVOR ENERGY BAR, ICED GINGERBREAD",68.0,64.71,0.0,368.0,5.9,11.76,33.82,8.82,118.0,8.8,0.294
"CINNAMON ROLL INSTANT OATMEAL, CINNAMON ROLL",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"RICE SQUARES CRUNCHY, BITE-SIZE, TOASTED RICE CEREAL, RICE SQUARES",27.0,85.19,0.0,370.0,0.0,7.41,7.41,0.0,30.0,22.2,1.852
"ENRICHED WHEAT BRAN WHOLE GRAIN WHEAT CEREAL WITH WHEAT BRAN, ENRICHED WHEAT BRAN",29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
"TOASTED OATS TOASTED WHOLE GRAIN OAT CEREAL, TOASTED OATS",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"CRUNCHY GRANOLA RAISIN BRAN FLAKES WITH OATS & HONEY CLUSTERS, CRUNCHY GRANOLA RAISIN BRAN",53.0,83.02,0.0,358.0,9.4,7.55,33.96,1.89,113.0,0.0,0.943
"CLASSIC FRENCH VANILLA NUTRITIONAL DRINK MIX, CLASSIC FRENCH VANILLA",36.0,61.11,14.0,361.0,0.0,27.78,58.33,0.0,278.0,250.0,1.111
"RICH MILK CHOCOLATE FLAVORED POWDER DRINK MIX, RICH MILK CHOCOLATE",36.0,75.0,14.0,361.0,2.8,13.89,52.78,2.78,222.0,233.3,1.111
"CRISP RICE FAT FREE OVEN-TOASTED RICE CEREAL, CRISP RICE",39.0,87.18,0.0,385.0,0.0,7.69,10.26,0.0,21.0,38.5,1.282
"WHIPPED PEANUT BUTTER CHOCOLATE FLAVORED KETO MEAL BARS, WHIPPED PEANUT BUTTER CHOCOLATE",42.0,35.71,12.0,452.0,21.4,16.67,7.14,33.33,190.0,64.3,1.667
"COCOA PEANUT BUTTER CEREAL, COCOA PEANUT BUTTER",40.0,75.0,12.0,425.0,5.0,7.5,32.5,11.25,80.0,15.0,1.25
"TOASTED OATS WHOLE GRAIN OAT CEREAL, TOASTED OATS",38.0,73.68,0.0,395.0,10.5,10.53,2.63,6.58,132.0,50.0,1.579
TOASTED CRISP RICE CEREAL,40.0,92.5,0.0,400.0,0.0,7.5,10.0,0.0,25.0,45.0,1.5
"CHIPOTLE PEANUTS, SUNFLOWER KERNELS, ORIGINAL BEEF JERKY PORTABLE PROTEIN PACK, CHIPOTLE, ORIGINAL",51.0,19.61,10.0,510.0,5.9,25.49,7.84,37.25,157.0,0.0,0.392
"RICH MILK CHOCOLATE COMPLETE NUTRITIONAL DRINK, RICH MILK CHOCOLATE",36.0,75.0,14.0,361.0,2.8,13.89,52.78,2.78,222.0,233.3,1.111
"MINT CHOCOLATE CHUNK ICE CREAM WITH HIDDEN SPINACH, MINT CHOCOLATE CHUNK WITH HIDDEN SPINACH",93.0,29.03,54.0,290.0,2.2,5.38,25.81,17.2,43.0,3.9,0.043
"CRUNCHY GRANOLA RAISIN BRAN SWEETENED CRUNCHY WHEAT FLAKES WITH RAISINS AND OAT CLUSTERS, CRUNCHY GRANOLA RAISIN BRAN",54.0,83.33,0.0,352.0,11.1,7.41,35.19,1.85,111.0,0.0,0.926
"COTTON CANDY ICE CREAM WITH HIDDEN BEETS, COTTON CANDY WITH HIDDEN BEETS",93.0,21.51,65.0,215.0,1.1,4.3,21.51,12.9,9.0,1.3,0.043
"VANILLA ICE CREAM WITH HIDDEN ZUCCHINI, VANILLA WITH HIDDEN ZUCCHINI",93.0,20.43,65.0,204.0,1.1,4.3,20.43,12.9,9.0,1.3,0.043
"STRAWBERRY ICE CREAM WITH HIDDEN CARROTS, STRAWBERRY WITH HIDDEN CARROTS",93.0,19.35,54.0,183.0,1.1,4.3,17.2,11.83,9.0,12.9,0.043
"FROSTED SHREDDED WHEAT BITE SIZE WHOLE GRAIN WHEAT CEREAL, FROSTED SHREDDED WHEAT",60.0,86.67,0.0,367.0,10.0,8.33,20.0,1.67,75.0,0.0,1.0
"CRISPY OATS & NUTS SNACK BARS, CRISPY OATS & NUTS",40.0,45.0,0.0,400.0,5.0,25.0,10.0,15.0,150.0,15.0,1.0
"DARK CHOCOLATE ALMOND SNACK BARS, DARK CHOCOLATE ALMOND",40.0,0.04,0.0,400.0,7.5,27.5,10.0,17.5,150.0,15.0,1.0
"HEMP BLONDIE MIX, HEMP",26.0,88.46,0.0,385.0,3.8,3.85,50.0,1.92,31.0,0.0,0.154
"SNICKERDOODLE DUNKSTERS SWEETENED CORN CEREAL DUSTED WITH SUGAR & CINNAMON, SNICKERDOODLE DUNKSTERS",39.0,79.49,0.0,436.0,5.1,5.13,30.77,10.26,62.0,15.4,1.282
"RICH MILK CHOCOLATE NUTRITIONAL DRINK MIX, RICH MILK CHOCOLATE",36.0,75.0,14.0,389.0,0.0,13.89,52.78,2.78,278.0,250.0,1.111
"CLASSIC FRENCH VANILLA PROBIOTICS NUTRITIONAL DRINK MIX, CLASSIC FRENCH VANILLA",36.0,75.0,14.0,361.0,0.0,13.89,50.0,0.0,222.0,250.0,1.111
"COCO KRUNCH SWEETENED RICE CEREAL, COCO KRUNCH",40.0,90.0,0.0,400.0,0.0,5.0,42.5,1.25,25.0,20.0,1.5
"THE ORIGINAL GOURMET GLUTEN-FREE PIZZA, THE ORIGINAL",91.0,47.25,11.0,385.0,3.3,10.99,7.69,18.68,9.0,9.9,0.044
"BLUEBERRIES & CREAM INSTANT OATMEAL, BLUEBERRIES & CREAM",35.0,74.29,0.0,371.0,5.7,8.57,31.43,5.71,69.0,0.0,1.143
"TOASTED CORN BRAN & WHEAT FIBER ESSENTIALS CEREAL, TOASTED CORN BRAN & WHEAT",40.0,82.5,0.0,225.0,45.0,7.5,0.0,3.75,188.0,22.5,1.075
MILK-BASED POWDER TODDLER DRINK WITH PROBIOTICS,18.0,50.0,28.0,444.0,5.6,16.67,50.0,22.22,222.0,50.0,1.667
"ORIGINAL POWDERED FOOD, ORIGINAL",60.0,46.67,0.0,450.0,6.7,21.67,16.67,21.67,100.0,15.0,0.5
"PEANUT BUTTER CHOCOLATE DIABETIC WEIGHT LOSS MEAL BAR, PEANUT BUTTER CHOCOLATE",42.0,35.71,12.0,452.0,21.4,16.67,7.14,33.33,190.0,64.3,1.667
"VANILLA CAKE BATTER KETO MEAL SHAKE MIX, VANILLA CAKE BATTER",34.70000076293945,23.05,58.0,548.0,0.0,23.05,2.88,43.23,20.0,43.2,1.441
"ORIGINAL RICH CHOCOLATE ROYALE MEAL REPLACEMENT SHAKE MIX, ORIGINAL RICH CHOCOLATE ROYALE",26.0,69.23,19.0,423.0,15.4,7.69,38.46,15.38,385.0,103.8,2.308
"CRISPY OATS & NUTS SNACK BARS, CRISPY OATS & NUTS",40.0,45.0,0.0,400.0,5.0,25.0,10.0,15.0,150.0,15.0,1.0
"DOUBLE DARK CHOCOLATE NUTRITION BARS, DOUBLE DARK CHOCOLATE",45.0,46.67,0.0,422.0,6.7,26.67,26.67,13.33,96.0,51.1,1.778
"CHOCOLATE PEANUT MINI TREATS BAR, CHOCOLATE PEANUT",20.0,50.0,0.0,400.0,10.0,15.0,15.0,17.5,160.0,18.0,1.0
"CRISP RICE TOASTED RICE CEREAL, CRISP RICE",40.0,92.5,0.0,400.0,0.0,7.5,10.0,0.0,25.0,45.0,1.5
"WHOLE WHEAT & BRAN FLAKES CEREAL, WHOLE WHEAT",40.0,80.0,0.0,325.0,15.0,10.0,17.5,2.5,138.0,207.5,7.0
"CLASSIC FRENCH VANILLA NUTRITIONAL DRINK MIX, CLASSIC FRENCH VANILLA",36.0,75.0,14.0,361.0,0.0,13.89,50.0,0.0,222.0,250.0,1.111
"APPLE CINNAMON OAT LOOPS TOASTED WHOLE GRAIN CEREAL, APPLE CINNAMON",40.0,85.0,0.0,400.0,7.5,7.5,35.0,5.0,62.0,15.0,1.25
"THE REDPEP MILD REDPEPR CREAMY CHEESE, THE REDPEP",38.0,13.16,0.0,368.0,5.3,13.16,2.63,31.58,211.0,0.0,0.789
"THE ORIGINAL CREAMY CHEESE, THE ORIGINAL",38.0,10.53,0.0,368.0,5.3,13.16,2.63,31.58,211.0,0.0,0.789
